Timestamp,Age,Gender,Occupation,Frequency,Time,Language,Genre,Type,Channels
2/27/2018 21:35:02,19-25,Female,Student,Only on weekends,6pm - 9pm,"Marathi, Hindi","Comedy, Romance",Talent shows,"Colors Marathi, Zee Marathi, Star Plus, Colors"
2/27/2018 22:12:05,19-25,Male,Student,Daily,7am - 12pm,Hindi,"Family Drama, Comedy, Romance","Quiz shows, Dare/Challenge shows","Sony TV, Sony Sab"
2/27/2018 22:12:08,19-25,Male,Student,Daily,7am - 12pm,Hindi,"Family Drama, Comedy, Romance","Quiz shows, Dare/Challenge shows","Sony TV, Sony Sab"
2/27/2018 23:17:05,19-25,Male,Student,Not a huge fan of Tv shows,"12pm - 3pm, 9pm - 12am","Marathi, English, Hindi",Comedy,"Talent shows, Dare/Challenge shows","Colors Marathi, Zee Marathi, Sony TV, Sony Sab, Colors, Comedy Central"
2/28/2018 8:41:43,19-25,Male,Student,Only on weekends,6pm - 9pm,English,Comedy,"Quiz shows, Talent shows","Comedy Central, Romedy Now, Zee Cafe"
2/28/2018 10:43:39,19-25,Female,Student,Daily,"6pm - 9pm, 9pm - 12am","Marathi, Hindi","Comedy, Horror","Quiz shows, Talent shows","Colors Marathi, Zee Marathi, Zee Yuva, Sony Sab"
2/28/2018 11:03:14,14-18,Male,Student,Only on weekends,9pm - 12am,"English, Hindi",Family Drama,"Quiz shows, Talent shows","Star Plus, Colors"
2/28/2018 11:10:09,19-25,Male,Student,Not a huge fan of Tv shows,9pm - 12am,"English, Hindi",Comedy,"Talent shows, Dare/Challenge shows",Starsports hd2
2/28/2018 11:17:05,19-25,Female,Student,Not a huge fan of Tv shows,"6pm - 9pm, 9pm - 12am","Marathi, English, Hindi","Comedy, Horror","Talent shows, Chit -chat shows","Colors Marathi, Zee Marathi, Zee Yuva, Star Plus, Comedy Central, Romedy Now, Zee Cafe"
2/28/2018 12:03:47,19-25,Male,Student,Daily,6pm - 9pm,"Marathi, English","Family Drama, Comedy","Talent shows, Dare/Challenge shows","Colors Marathi, Zee Marathi, Comedy Central, Zee Cafe"
2/28/2018 13:22:17,14-18,Female,Student,Twice/Thrice a week,6pm - 9pm,Hindi,Comedy,Dare/Challenge shows,Colors
2/28/2018 13:39:20,19-25,Male,Business,Twice/Thrice a week,6pm - 9pm,English,Comedy,Chit -chat shows,Zee Cafe
2/28/2018 15:38:56,19-25,Male,Student,Twice/Thrice a week,3pm - 6pm,English,Comedy,Dare/Challenge shows,Netflix
2/28/2018 15:59:48,19-25,Female,Student,Not a huge fan of Tv shows,6pm - 9pm,"English, Hindi","Comedy, Romance",Talent shows,Sony TV
2/28/2018 17:47:53,26-30,Male,Service,Daily,9pm - 12am,Hindi,"Family Drama, Comedy",Talent shows,"Sony TV, Sony Sab, Star Plus, Colors"
2/28/2018 18:16:34,19-25,Female,Student,Daily,9pm - 12am,"Marathi, English, Hindi","Family Drama, Comedy, Horror, Romance","Dare/Challenge shows, Chit -chat shows","Zee Marathi, Comedy Central, Romedy Now"
2/28/2018 19:38:02,19-25,Female,Student,Daily,"3pm - 6pm, 9pm - 12am","Marathi, Hindi","Family Drama, Comedy, Romance","Talent shows, Chit -chat shows","Zee Marathi, Zee Yuva, Sony TV"
2/28/2018 19:53:01,19-25,Female,Student,Only on weekends,7am - 12pm,Hindi,Comedy,Dare/Challenge shows,mtv
2/28/2018 22:07:36,19-25,Male,Student,Daily,6pm - 9pm,Hindi,Comedy,Talent shows,Colors
3/3/2018 13:24:50,19-25,Female,Student,Only on weekends,"6pm - 9pm, 9pm - 12am","English, Hindi","Comedy, Horror, Romance","Talent shows, Chit -chat shows","Sony TV, Colors"
3/4/2018 10:54:12,19-25,Female,Student,Daily,3pm - 6pm,"English, Hindi","Comedy, Horror","Quiz shows, Talent shows, Chit -chat shows","Sony TV, Comedy Central, Romedy Now, Zee Cafe"
3/4/2018 20:29:31,19-25,Female,Student,Daily,"3pm - 6pm, 6pm - 9pm","English, Hindi",Comedy,"Quiz shows, Talent shows, Dare/Challenge shows","Star Plus, Colors, Comedy Central, Romedy Now"
3/4/2018 20:50:59,19-25,Female,Student,Twice/Thrice a week,6pm - 9pm,Hindi,Comedy,Dare/Challenge shows,Sony Sab
3/4/2018 21:41:14,19-25,Female,Student,Daily,9pm - 12am,"Marathi, English, Hindi","Family Drama, Comedy, Romance","Quiz shows, Dare/Challenge shows, Chit -chat shows","Zee Marathi, Comedy Central, Romedy Now"
